nodename,originalname,parentnodename,nodetype,effectivedate,expirationdate,unassigned,createdby
Port of Jacksonville,Port of Jacksonville,Jacksonville,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Dames Point Bridge,Dames Point Bridge,Jacksonville,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Jacksonville Union Station,Jacksonville Union Station,Jacksonville,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Florida Theatre,Florida Theatre,Jacksonville,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Memorial Park,Memorial Park,Jacksonville,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Springfield Union Station,Springfield Union Station,Springfield,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Thomas Rees Carillon,Thomas Rees Carillon,Springfield,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Old State Capitol State Historic Site,Old State Capitol State Historic Site,Springfield,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Navy Pier,Navy Pier,Chicago,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
"Chicago ""L"" Train","Chicago ""L"" Train",Chicago,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Art Institute of Chicago,Art Institute of Chicago,Chicago,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Wrigley Field,Wrigley Field,Chicago,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Rensselaer,Rensselaer,Albany,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Helderberg,Helderberg,Albany,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Palace Theatre,Palace Theatre,Albany,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Cultural Education Center,Cultural Education Center,Albany,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Brooklyn Bridge,Brooklyn Bridge,New York City ,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Central Park,Central Park,New York City ,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Unisphere,Unisphere,New York City ,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Providence Performing Arts Center,Providence Performing Arts Center,Providence,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
University Hall (Brown University),University Hall (Brown University),Providence,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Federal Hill,Federal Hill,Providence,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Monument Avenue,Monument Avenue,Richmond,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Virginia State Capitol,Virginia State Capitol,Richmond,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Main Street Station,Main Street Station,Richmond,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Virginia Commonwealth University,Virginia Commonwealth University,Richmond,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Regent University,Regent University,Virginia Beach,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Back Bay National Wildlife Refuge,Back Bay National Wildlife Refuge,Virginia Beach,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Cavalier Hotel,Cavalier Hotel,Virginia Beach,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Congress Avenue Bridge,Congress Avenue Bridge,Austin,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Laguna Gloria,Laguna Gloria,Austin,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Paramount Theatre,Paramount Theatre,Austin,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Texas Medical Center,Texas Medical Center,Houston,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Uptown Houston,Uptown Houston,Houston,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Downtown Houston,Downtown Houston,Houston,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Trenton City Hall,Trenton City Hall,Trenton,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Broad Street National Bank,Broad Street National Bank,Trenton,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Trenton War Memorial,Trenton War Memorial,Trenton,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Port Newark-Elizabeth,Port Newark-Elizabeth,Newark,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Branch Brook Park,Branch Brook Park,Newark,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Newark Liberty International Airport,Newark Liberty International Airport,Newark,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
West Virginia State Museum,West Virginia State Museum,Charleston,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Clay Center,Clay Center,Charleston,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
West Virginia State Capitol,West Virginia State Capitol,Charleston,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
India,India,Global,Direct,08/22/2023,,N,ashenay@linen.qa
Assam,Assam,India,Direct,08/22/2023,,N,ashenay@linen.qa
Madhya Pradesh,Madhya Pradesh,India,Direct,08/22/2023,,N,ashenay@linen.qa
Maharashtra,Maharashtra,India,Direct,08/22/2023,,N,ashenay@linen.qa
Kerala,Kerala,India,Direct,08/22/2023,,N,ashenay@linen.qa
Tamil Nadu,Tamil Nadu,India,Direct,08/22/2023,,N,ashenay@linen.qa
Andra Pradesh,Andra Pradesh,India,Direct,08/22/2023,,N,ashenay@linen.qa
Telungana,Telungana,India,Direct,08/22/2023,,N,ashenay@linen.qa
Karnataka,Karnataka,India,Direct,08/22/2023,,N,ashenay@linen.qa
Uttar Pradesh ,Uttar Pradesh ,India,Direct,08/22/2023,,N,ashenay@linen.qa
Baksa,Baksa,Assam,Overlay,08/22/2023,,N,ashenay@linen.qa
Dhubri,Dhubri,Assam,Overlay,08/22/2023,,N,ashenay@linen.qa
Mumbai,Mumbai,Madhya Pradesh,Overlay,08/22/2023,,N,ashenay@linen.qa
Pune,Pune,Madhya Pradesh,Overlay,08/22/2023,,N,ashenay@linen.qa
Thane,Thane,Madhya Pradesh,Overlay,08/22/2023,,N,ashenay@linen.qa
Trivandrum,Trivandrum,Kerala,Overlay,08/22/2023,,N,ashenay@linen.qa
Ernakulam,Ernakulam,Kerala,Overlay,08/22/2023,,N,ashenay@linen.qa
Idukki,Idukki,Kerala,Overlay,08/22/2023,,N,ashenay@linen.qa
Kottayam,Kottayam,Kerala,Overlay,08/22/2023,,N,ashenay@linen.qa
Madurai,Madurai,Tamil Nadu,Overlay,08/22/2023,,N,ashenay@linen.qa
Trichy,Trichy,Tamil Nadu,Overlay,08/22/2023,,N,ashenay@linen.qa
Chennai,Chennai,Tamil Nadu,Overlay,08/22/2023,,N,ashenay@linen.qa
Nellore,Nellore,Andra Pradesh,Overlay,08/22/2023,,N,ashenay@linen.qa
Guntur,Guntur,Andra Pradesh,Overlay,08/22/2023,,N,ashenay@linen.qa
Visakhapatnam,Visakhapatnam,Andra Pradesh,Overlay,08/22/2023,,N,ashenay@linen.qa
Hyderabad,Hyderabad,Telungana,Overlay,08/22/2023,,N,ashenay@linen.qa
Warangal,Warangal,Telungana,Overlay,08/22/2023,,N,ashenay@linen.qa
Nizamabad,Nizamabad,Telungana,Overlay,08/22/2023,,N,ashenay@linen.qa
Bengaluru,Bengaluru,Karnataka,Overlay,08/22/2023,,N,ashenay@linen.qa
Mysore,Mysore,Karnataka,Overlay,08/22/2023,,N,ashenay@linen.qa
Davanagere,Davanagere,Karnataka,Overlay,08/22/2023,,N,ashenay@linen.qa
Agra,Agra,Uttar Pradesh ,Overlay,08/22/2023,,N,ashenay@linen.qa
Jhansi,Jhansi,Uttar Pradesh ,Overlay,08/22/2023,,N,ashenay@linen.qa
Allahabad,Allahabad,Uttar Pradesh ,Overlay,08/22/2023,,N,ashenay@linen.qa
Mushalpur,Mushalpur,Baksa,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Tihu,Tihu,Baksa,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Manas National Park,Manas National Park,Baksa,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Chakrasila Wildlife Sanctuary,Chakrasila Wildlife Sanctuary,Dhubri,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
V-Mart,V-Mart,Dhubri,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Florican Garden,Florican Garden,Dhubri,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Victoria Memorial Park,Victoria Memorial Park,Dhubri,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Gateway of India,Gateway of India,Mumbai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Taj Mahal Palace Hotel,Taj Mahal Palace Hotel,Mumbai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
The World Towers,The World Towers,Mumbai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Mumbai Mariane Drive,Mumbai Mariane Drive,Mumbai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
University of Pune,University of Pune,Pune,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Amanora township,Amanora township,Pune,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Shaniwar Wada,Shaniwar Wada,Pune,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Aga Khan Palace,Aga Khan Palace,Pune,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Dadoji Kondadev Stadium,Dadoji Kondadev Stadium,Thane,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Upvan Lake,Upvan Lake,Thane,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Hiranandani Estate,Hiranandani Estate,Thane,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Lulu Mall,Lulu Mall,Trivandrum,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Mall of Travancore,Mall of Travancore,Trivandrum,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Varkala,Varkala,Trivandrum,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Kovalam,Kovalam,Trivandrum,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Vizhinjam Harbour,Vizhinjam Harbour,Trivandrum,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Ponmudi,Ponmudi,Trivandrum,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Central Mall,Central Mall,Trivandrum,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Aluva,Aluva,Ernakulam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Mattanchery,Mattanchery,Ernakulam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Fort Kochi,Fort Kochi,Ernakulam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
ashenay University ,ashenay University ,Ernakulam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Munnar,Munnar,Idukki,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Periyar National Park,Periyar National Park,Idukki,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Anamudi Peak,Anamudi Peak,Idukki,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Mattupetty Dam,Mattupetty Dam,Idukki,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Vaikom,Vaikom,Kottayam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Kumarakkom,Kumarakkom,Kottayam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
MG University,Mahatma Gandhi University ,Kottayam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Gandhi Museum,Gandhi Museum,Madurai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Samanar Hills,Samanar Hills,Madurai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Thirumalai Nayak Palace,Thirumalai Nayak Palace,Madurai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
ELCOT IT Park Trichy,ELCOT IT Park Trichy,Trichy,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Tiruchirapalli Rock Fort,Tiruchirapalli Rock Fort,Trichy,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Our Lady of Lourdes Church,Our Lady of Lourdes Church,Trichy,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Chennai Central,Chennai Central,Chennai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Ripon Building,Ripon Building,Chennai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
ITC Grand Chola ,ITC Grand Chola ,Chennai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Sathyam Cinemas,Sathyam Cinemas,Chennai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Mayaajal,Mayaajal,Chennai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Express Avenue,Express Avenue,Chennai,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Krishnapatanam Port,Krishnapatanam Port,Nellore,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Guntur Municipal Corporation,Guntur Municipal Corporation,Guntur,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
One-Town Centre,One-Town Centre,Guntur,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Iskcon Temple,Iskcon Temple,Guntur,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Novotel Visakhapatnam,Novotel Visakhapatnam,Visakhapatnam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Vizag skyline,Vizag skyline,Visakhapatnam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Kambalakonda wildlife sanctuary,Kambalakonda wildlife sanctuary,Visakhapatnam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Rushikonda Beach,Rushikonda Beach,Visakhapatnam,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Charminar,Charminar,Hyderabad,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Buddha Statue,Buddha Statue,Hyderabad,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Falaknuma Palace,Falaknuma Palace,Hyderabad,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Kakatiya University,Kakatiya University,Warangal,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Warangal Fort,Warangal Fort,Warangal,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Nizamabad Fort,Nizamabad Fort,Nizamabad,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Alisagar Park,Alisagar Park,Nizamabad,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Infosys Pyramid,Infosys Pyramid,Bengaluru,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Bangalore Palace,Bangalore Palace,Bengaluru,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Skyline of Bengaluru,Skyline of Bengaluru,Bengaluru,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Mysore Palace,Mysore Palace,Mysore,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Shivanasamudra Falls,Shivanasamudra Falls,Mysore,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Lalitha Mahal,Lalitha Mahal,Mysore,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
St. Philomena's Cathedral,St. Philomena's Cathedral,Mysore,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Shamanur,Shamanur,Davanagere,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Kunduwada Lake,Kunduwada Lake,Davanagere,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Taj Mahal,Taj Mahal,Agra,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Agra Fort,Agra Fort,Agra,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Jhansi Fort,Jhansi Fort,Jhansi,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Rani Mahal,Rani Mahal,Jhansi,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
White Tiger Herbal Garden Club,White Tiger Herbal Garden Club,Jhansi,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
University of Allahabad,University of Allahabad,Allahabad,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Thornhill Mayne Memorial,Thornhill Mayne Memorial,Allahabad,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
Anand Bhavan,Anand Bhavan,Allahabad,Direct & Overlay,08/22/2023,,N,ashenay@linen.qa
