nodename,originalname,parentnodename,nodetype,effectivedate,expirationdate,unassigned,createdby
Navy Pier,Navy Pier,Chicago,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
"Chicago ""L"" Train","Chicago ""L"" Train",Chicago,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Art Institute of Chicago,Art Institute of Chicago,Chicago,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Wrigley Field,Wrigley Field,Chicago,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Rensselaer,Rensselaer,Albany,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Helderberg,Helderberg,Albany,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Palace Theatre,Palace Theatre,Albany,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Cultural Education Center,Cultural Education Center,Albany,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Brooklyn Bridge,Brooklyn Bridge,New York City ,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Central Park,Central Park,New York City ,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Unisphere,Unisphere,New York City ,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Providence Performing Arts Center,Providence Performing Arts Center,Providence,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
University Hall (Brown University),University Hall (Brown University),Providence,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Federal Hill,Federal Hill,Providence,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Monument Avenue,Monument Avenue,Richmond,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Virginia State Capitol,Virginia State Capitol,Richmond,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Main Street Station,Main Street Station,Richmond,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Virginia Commonwealth University,Virginia Commonwealth University,Richmond,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Regent University,Regent University,Virginia Beach,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Back Bay National Wildlife Refuge,Back Bay National Wildlife Refuge,Virginia Beach,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Cavalier Hotel,Cavalier Hotel,Virginia Beach,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Congress Avenue Bridge,Congress Avenue Bridge,Austin,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Laguna Gloria,Laguna Gloria,Austin,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Paramount Theatre,Paramount Theatre,Austin,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Texas Medical Center,Texas Medical Center,Houston,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Uptown Houston,Uptown Houston,Houston,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Downtown Houston,Downtown Houston,Houston,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Trenton City Hall,Trenton City Hall,Trenton,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Broad Street National Bank,Broad Street National Bank,Trenton,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Trenton War Memorial,Trenton War Memorial,Trenton,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Port Newark-Elizabeth,Port Newark-Elizabeth,Newark,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Branch Brook Park,Branch Brook Park,Newark,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Newark Liberty International Airport,Newark Liberty International Airport,Newark,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
West Virginia State Museum,West Virginia State Museum,Charleston,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Clay Center,Clay Center,Charleston,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
West Virginia State Capitol,West Virginia State Capitol,Charleston,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
India,India,Global,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Assam,Assam,India,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Madhya Pradesh,Madhya Pradesh,India,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Maharashtra,Maharashtra,India,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Kerala,Kerala,India,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Tamil Nadu,Tamil Nadu,India,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Andra Pradesh,Andra Pradesh,India,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Telungana,Telungana,India,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Karnataka,Karnataka,India,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Uttar Pradesh ,Uttar Pradesh ,India,Direct,08/22/2023,,N,inttestusr1@linen.cloud
Baksa,Baksa,Assam,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Dhubri,Dhubri,Assam,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Mumbai,Mumbai,Madhya Pradesh,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Pune,Pune,Madhya Pradesh,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Thane,Thane,Madhya Pradesh,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Trivandrum,Trivandrum,Kerala,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Ernakulam,Ernakulam,Kerala,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Idukki,Idukki,Kerala,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Kottayam,Kottayam,Kerala,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Madurai,Madurai,Tamil Nadu,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Trichy,Trichy,Tamil Nadu,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Chennai,Chennai,Tamil Nadu,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Nellore,Nellore,Andra Pradesh,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Guntur,Guntur,Andra Pradesh,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Visakhapatnam,Visakhapatnam,Andra Pradesh,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Hyderabad,Hyderabad,Telungana,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Warangal,Warangal,Telungana,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Nizamabad,Nizamabad,Telungana,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Bengaluru,Bengaluru,Karnataka,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Mysore,Mysore,Karnataka,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Davanagere,Davanagere,Karnataka,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Agra,Agra,Uttar Pradesh ,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Jhansi,Jhansi,Uttar Pradesh ,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Allahabad,Allahabad,Uttar Pradesh ,Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Mushalpur,Mushalpur,Baksa,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Tihu,Tihu,Baksa,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Manas National Park,Manas National Park,Baksa,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Chakrasila Wildlife Sanctuary,Chakrasila Wildlife Sanctuary,Dhubri,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
V-Mart,V-Mart,Dhubri,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Florican Garden,Florican Garden,Dhubri,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Victoria Memorial Park,Victoria Memorial Park,Dhubri,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Gateway of India,Gateway of India,Mumbai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Taj Mahal Palace Hotel,Taj Mahal Palace Hotel,Mumbai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
The World Towers,The World Towers,Mumbai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Mumbai Mariane Drive,Mumbai Mariane Drive,Mumbai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
University of Pune,University of Pune,Pune,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Amanora township,Amanora township,Pune,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Shaniwar Wada,Shaniwar Wada,Pune,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Aga Khan Palace,Aga Khan Palace,Pune,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Dadoji Kondadev Stadium,Dadoji Kondadev Stadium,Thane,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Upvan Lake,Upvan Lake,Thane,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Hiranandani Estate,Hiranandani Estate,Thane,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Lulu Mall,Lulu Mall,Trivandrum,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Mall of Travancore,Mall of Travancore,Trivandrum,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Varkala,Varkala,Trivandrum,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Kovalam,Kovalam,Trivandrum,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Vizhinjam Harbour,Vizhinjam Harbour,Trivandrum,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Ponmudi,Ponmudi,Trivandrum,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Central Mall,Central Mall,Trivandrum,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Aluva,Aluva,Ernakulam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Mattanchery,Mattanchery,Ernakulam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Fort Kochi,Fort Kochi,Ernakulam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Amrita University ,Amrita University ,Ernakulam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Munnar,Munnar,Idukki,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Periyar National Park,Periyar National Park,Idukki,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Anamudi Peak,Anamudi Peak,Idukki,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Mattupetty Dam,Mattupetty Dam,Idukki,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Vaikom,Vaikom,Kottayam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Kumarakkom,Kumarakkom,Kottayam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
MG University,Mahatma Gandhi University ,Kottayam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Gandhi Museum,Gandhi Museum,Madurai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Samanar Hills,Samanar Hills,Madurai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Thirumalai Nayak Palace,Thirumalai Nayak Palace,Madurai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
ELCOT IT Park Trichy,ELCOT IT Park Trichy,Trichy,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Tiruchirapalli Rock Fort,Tiruchirapalli Rock Fort,Trichy,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Our Lady of Lourdes Church,Our Lady of Lourdes Church,Trichy,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Chennai Central,Chennai Central,Chennai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Ripon Building,Ripon Building,Chennai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
ITC Grand Chola ,ITC Grand Chola ,Chennai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Sathyam Cinemas,Sathyam Cinemas,Chennai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Mayaajal,Mayaajal,Chennai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Express Avenue,Express Avenue,Chennai,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Krishnapatanam Port,Krishnapatanam Port,Nellore,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Guntur Municipal Corporation,Guntur Municipal Corporation,Guntur,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
One-Town Centre,One-Town Centre,Guntur,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Iskcon Temple,Iskcon Temple,Guntur,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Novotel Visakhapatnam,Novotel Visakhapatnam,Visakhapatnam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Vizag skyline,Vizag skyline,Visakhapatnam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Kambalakonda wildlife sanctuary,Kambalakonda wildlife sanctuary,Visakhapatnam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Rushikonda Beach,Rushikonda Beach,Visakhapatnam,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Charminar,Charminar,Hyderabad,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Buddha Statue,Buddha Statue,Hyderabad,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Falaknuma Palace,Falaknuma Palace,Hyderabad,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Kakatiya University,Kakatiya University,Warangal,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Warangal Fort,Warangal Fort,Warangal,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Nizamabad Fort,Nizamabad Fort,Nizamabad,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Alisagar Park,Alisagar Park,Nizamabad,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Infosys Pyramid,Infosys Pyramid,Bengaluru,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Bangalore Palace,Bangalore Palace,Bengaluru,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Skyline of Bengaluru,Skyline of Bengaluru,Bengaluru,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Mysore Palace,Mysore Palace,Mysore,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Shivanasamudra Falls,Shivanasamudra Falls,Mysore,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Lalitha Mahal,Lalitha Mahal,Mysore,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
St. Philomena's Cathedral,St. Philomena's Cathedral,Mysore,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Shamanur,Shamanur,Davanagere,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Kunduwada Lake,Kunduwada Lake,Davanagere,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Taj Mahal,Taj Mahal,Agra,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Agra Fort,Agra Fort,Agra,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Jhansi Fort,Jhansi Fort,Jhansi,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Rani Mahal,Rani Mahal,Jhansi,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
White Tiger Herbal Garden Club,White Tiger Herbal Garden Club,Jhansi,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
University of Allahabad,University of Allahabad,Allahabad,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Thornhill Mayne Memorial,Thornhill Mayne Memorial,Allahabad,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
Anand Bhavan,Anand Bhavan,Allahabad,Direct & Overlay,08/22/2023,,N,inttestusr1@linen.cloud
